,dt,AverageTemperature,Country
361,1826-02-01,18.351,India
362,1826-03-01,23.743,India
363,1826-04-01,27.814,India
364,1826-05-01,30.463,India
365,1826-06-01,28.352,India
366,1826-07-01,27.152,India
367,1826-08-01,25.16200000000001,India
368,1826-09-01,24.969,India
369,1826-10-01,23.612,India
370,1826-11-01,21.067,India
371,1826-12-01,18.576,India
372,1827-01-01,17.875999999999998,India
373,1827-02-01,19.791,India
374,1827-03-01,24.153,India
375,1827-04-01,28.18,India
376,1827-05-01,29.563,India
377,1827-06-01,28.975,India
378,1827-07-01,27.285,India
379,1827-08-01,25.736,India
380,1827-09-01,24.674,India
381,1827-10-01,23.26,India
382,1827-11-01,21.007,India
383,1827-12-01,16.977,India
384,1828-01-01,16.118000000000002,India
385,1828-02-01,18.766,India
386,1828-03-01,23.678,India
387,1828-04-01,27.24,India
388,1828-05-01,29.547,India
389,1828-06-01,29.688,India
390,1828-07-01,27.167,India
391,1828-08-01,25.722,India
392,1828-09-01,23.899,India
393,1828-10-01,23.406,India
394,1828-11-01,20.851,India
395,1828-12-01,17.402,India
396,1829-01-01,16.815,India
397,1829-02-01,18.199,India
398,1829-03-01,23.331,India
399,1829-04-01,27.007,India
400,1829-05-01,29.775,India
401,1829-06-01,28.769,India
402,1829-07-01,26.73,India
403,1829-08-01,25.577,India
404,1829-09-01,24.601,India
405,1829-10-01,23.758000000000003,India
406,1829-11-01,19.862,India
407,1829-12-01,16.898,India
408,1830-01-01,17.047,India
409,1830-02-01,19.756,India
410,1830-03-01,23.056,India
411,1830-04-01,27.494,India
412,1830-05-01,27.903,India
413,1830-06-01,28.626,India
414,1830-07-01,27.355,India
415,1830-08-01,25.439,India
416,1830-09-01,24.538,India
417,1830-10-01,23.198,India
418,1830-11-01,21.574,India
419,1830-12-01,18.082,India
420,1831-01-01,16.565,India
421,1831-02-01,19.147,India
422,1831-03-01,23.557,India
423,1831-04-01,26.69,India
424,1831-05-01,29.921,India
425,1831-06-01,29.209,India
426,1831-07-01,26.245,India
427,1831-08-01,24.907,India
428,1831-09-01,24.056,India
429,1831-10-01,22.794,India
430,1831-11-01,19.301,India
431,1831-12-01,16.508000000000006,India
432,1832-01-01,16.078,India
433,1832-02-01,18.202,India
434,1832-03-01,23.534,India
435,1832-04-01,27.598000000000003,India
436,1832-05-01,29.973000000000003,India
437,1832-06-01,,India
438,1832-07-01,27.105,India
439,1832-08-01,25.394,India
440,1832-09-01,24.211,India
441,1832-10-01,23.036,India
442,1832-11-01,19.455,India
443,1832-12-01,,India
444,1833-01-01,16.995,India
445,1833-02-01,19.381,India
446,1833-03-01,23.141,India
447,1833-04-01,26.902,India
448,1833-05-01,28.941,India
449,1833-06-01,29.161,India
450,1833-07-01,26.9,India
451,1833-08-01,25.213,India
452,1833-09-01,24.817,India
453,1833-10-01,22.958,India
454,1833-11-01,20.702,India
455,1833-12-01,17.468,India
456,1834-01-01,15.609000000000002,India
457,1834-02-01,19.172,India
458,1834-03-01,23.655,India
459,1834-04-01,26.768,India
460,1834-05-01,30.234,India
461,1834-06-01,28.376,India
462,1834-07-01,26.552,India
463,1834-08-01,25.474,India
464,1834-09-01,25.195,India
465,1834-10-01,23.129,India
466,1834-11-01,20.486,India
467,1834-12-01,17.704,India
468,1835-01-01,16.965999999999998,India
469,1835-02-01,19.085,India
470,1835-03-01,22.397,India
471,1835-04-01,26.15,India
472,1835-05-01,28.282,India
